Sample	Location	Floor	Type	Indoor.Outdoor	Air.out	Material	Temperature	Humidness	RNA	Notes	DNARNA	SampleName	Date	Month	Building	SampleName2	SampleSite	SampleSite2	SampleSite3	Season	SeasonBymonth	Group
231012_7A	SBb1 SB022	b1	Toilet (Female)	Indoor	yes	plastic	25.4	54.7	No		DNA	231012_7A	231012	2310	SB	231012_7A-SBb1 SB022	7A	2310-7A	10-7A	Autumn	Autumn	Underground
231012_8A	SBb1 SB034 right side	b1	Corridor	Indoor	no	metal	25.2	54.5	No		DNA	231012_8A	231012	2310	SB	231012_8A-SBb1 SB034 right side	8A	2310-8A	10-8A	Autumn	Autumn	Underground
231012_9A	SBb1 SB038 left side	b1	Corridor	Indoor	no	plastic	25.4	54.6	No		DNA	231012_9A	231012	2310	SB	231012_9A-SBb1 SB038 left side	9A	2310-9A	10-9A	Autumn	Autumn	Underground
231030_10B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	24.8	44.6	No		DNA	231030_10B	231030	2310	SC	231030_10B-SCb1 Parking lot	10B	2310-10B	10-10B	Autumn	Autumn	Underground
231030_11B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	24.3	44.8	No		DNA	231030_11B	231030	2310	SC	231030_11B-SCb1 Parking lot	11B	2310-11B	10-11B	Autumn	Autumn	Underground
231030_12B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	24.2	44.8	No		DNA	231030_12B	231030	2310	SC	231030_12B-SCb1 Parking lot	12B	2310-12B	10-12B	Autumn	Autumn	Underground
231030_13B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	23.9	44.7	No		DNA	231030_13B	231030	2310	SD	231030_13B-SCb1 Parking lot	13B	2310-13B	10-13B	Autumn	Autumn	Underground
231030_14B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	23.8	45.1	No		DNA	231030_14B	231030	2310	SD	231030_14B-SCb1 Parking lot	14B	2310-14B	10-14B	Autumn	Autumn	Underground
231030_15B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	23.9	45.7	No		DNA	231030_15B	231030	2310	SD	231030_15B-SCb1 Parking lot	15B	2310-15B	10-15B	Autumn	Autumn	Underground
231030_16B	SD Elevator	Elevator	Elevator	Indoor	no	metal	23.8	46.9	No		DNA	231030_16B	231030	2310	SD	231030_16B-SD Elevator	16B	2310-16B	10-16B	Autumn	Autumn	Elevator
231030_17B	SD254	2	Classroom	Indoor	yes	metal	24.6	50.1	No		DNA	231030_17B	231030	2310	SD	231030_17B-SD254	17B	2310-17B	10-17B	Autumn	Autumn	Aboveground
231030_18B	SD234	2	Corridor	Indoor	no	plastic	25.5	49.3	No	Very black	DNA	231030_18B	231030	2310	SD	231030_18B-SD234	18B	2310-18B	10-18B	Autumn	Autumn	Aboveground
231030_19B	SC221	2	Common room	Indoor	yes	metal	25.1	46.6	No	Opened window	DNA	231030_19B	231030	2310	SC	231030_19B-SC221	19B	2310-19B	10-19B	Autumn	Autumn	Aboveground
231030_1B	SAb1 SA084 left side	b1	Corridor	Indoor	no	metal	23.3	51.2	No		DNA	231030_1B	231030	2310	SA	231030_1B-SAb1 SA084 left side	1B	2310-1B	10-1B	Autumn	Autumn	Underground
231030_20B	SB123	2	Classroom	Indoor	no	metal	24.3	48.8	No		DNA	231030_20B	231030	2310	SB	231030_20B-SB123	20B	2310-20B	10-20B	Autumn	Autumn	Aboveground
231030_21B	SA521	5	Common room	Indoor	no	metal	25.8	44.7	No		DNA	231030_21B	231030	2310	SA	231030_21B-SA521	21B	2310-21B	10-21B	Autumn	Autumn	Aboveground
231030_22B	SA434	4	Laboratory	Indoor	yes	metal	24.5	46.9	No		DNA	231030_22B	231030	2310	SA	231030_22B-SA434	22B	2310-22B	10-22B	Autumn	Autumn	Aboveground
231030_2B	SAb1 SA074	b1	Toilet (Male)	Indoor	no	metal	23.5	51.8	No		DNA	231030_2B	231030	2310	SA	231030_2B-SAb1 SA074	2B	2310-2B	10-2B	Autumn	Autumn	Underground
231030_3B	SAb1 SA080	b1	Toilet (Female)	Indoor	no	metal	23.6	51.6	No		DNA	231030_3B	231030	2310	SA	231030_3B-SAb1 SA080	3B	2310-3B	10-3B	Autumn	Autumn	Underground
231030_4B	SAb1 Canteen	b1	Canteen	Indoor	no	metal	24.1	53.9	No		DNA	231030_4B	231030	2310	SA	231030_4B-SAb1 Canteen	4B	2310-4B	10-4B	Autumn	Autumn	Underground
231030_5B	SAb1 SA089 (front)	b1	Corridor	Indoor	no	metal	23.9	53	No		DNA	231030_5B	231030	2310	SA	231030_5B-SAb1 SA089 (front)	5B	2310-5B	10-5B	Autumn	Autumn	Underground
231030_6B	SAb1	b1	Corridor	Indoor	no	metal	23.6	52.1	No		DNA	231030_6B	231030	2310	SA	231030_6B-SAb1	6B	2310-6B	10-6B	Autumn	Autumn	Underground
231030_7B	SBb1 (in front of elevator)	b1	Corridor	Indoor	no	metal	24.4	51.5	No		DNA	231030_7B	231030	2310	SB	231030_7B-SBb1 (in front of elevator)	7B	2310-7B	10-7B	Autumn	Autumn	Underground
231030_8B	SBb1	b1	Outdoor	Outdoor	no	metal	25.4	44	No		DNA	231030_8B	231030	2310	SB	231030_8B-SBb1	8B	2310-8B	10-8B	Autumn	Autumn	Outdoor
231030_9B	SB Elevator	Elevator	Elevator	Indoor	no	metal	25.4	44.6	No		DNA	231030_9B	231030	2310	SB	231030_9B-SB Elevator	9B	2310-9B	10-9B	Autumn	Autumn	Elevator
231109_10A	SBb1 SB024 left side	b1	Corridor	Indoor	no	metal	22.8	65.2	No		DNA	231109_10A	231109	2311	SB	231109_10A-SBb1 SB024 left side	10A	2311-10A	11-10A	Autumn	Autumn	Underground
231109_11A	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	22.8	65.7	No		DNA	231109_11A	231109	2311	SC	231109_11A-SCb1 Parking lot	11A	2311-11A	11-11A	Autumn	Autumn	Underground
231109_12A	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	23.1	67	No		DNA	231109_12A	231109	2311	SC	231109_12A-SCb1 Parking lot	12A	2311-12A	11-12A	Autumn	Autumn	Underground
231109_13A	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	23.1	67	No		DNA	231109_13A	231109	2311	SC	231109_13A-SCb1 Parking lot	13A	2311-13A	11-13A	Autumn	Autumn	Underground
231109_14A	SC Elevator	Elevator	Elevator	Indoor	no	metal	23.1	67.95	No		DNA	231109_14A	231109	2311	SC	231109_14A-SC Elevator	14A	2311-14A	11-14A	Autumn	Autumn	Elevator
231109_15A	SDb1 Parking lot	b1	Parking lot	Indoor	no	metal	22.7	68.5	No		DNA	231109_15A	231109	2311	SD	231109_15A-SDb1 Parking lot	15A	2311-15A	11-15A	Autumn	Autumn	Underground
231109_16A	SDb1 Parking lot	b1	Parking lot	Indoor	no	metal	22.7	68.4	No		DNA	231109_16A	231109	2311	SD	231109_16A-SDb1 Parking lot	16A	2311-16A	11-16A	Autumn	Autumn	Underground
231109_17A	SDb1 Parking lot	b1	Parking lot	Indoor	no	metal	22.8	68.8	No		DNA	231109_17A	231109	2311	SD	231109_17A-SDb1 Parking lot	17A	2311-17A	11-17A	Autumn	Autumn	Underground
231109_18A	SDb1	b1	Corridor	Indoor	no	metal	22.9	69.5	No		DNA	231109_18A	231109	2311	SD	231109_18A-SDb1	18A	2311-18A	11-18A	Autumn	Autumn	Underground
231109_19A	SB273	2	Common room	Indoor	yes	metal	24.2	67	No	Opened window	DNA	231109_19A	231109	2311	SB	231109_19A-SB273	19A	2311-19A	11-19A	Autumn	Autumn	Aboveground
231109_1A	SAb1 (By the elevator)	b1	Corridor	Indoor	no	plastic	22.6	59.6	No		DNA	231109_1A	231109	2311	SA	231109_1A-SAb1 (By the elevator)	1A	2311-1A	11-1A	Autumn	Autumn	Underground
231109_20A	SC169	2	Classroom	Indoor	no	metal	24.2	68.8	No		DNA	231109_20A	231109	2311	SC	231109_20A-SC169	20A	2311-20A	11-20A	Autumn	Autumn	Aboveground
231109_21A	SA Elevator	Elevator	Elevator	Indoor	no	metal	23.9	68.1	No		DNA	231109_21A	231109	2311	SA	231109_21A-SA Elevator	21A	2311-21A	11-21A	Autumn	Autumn	Elevator
231109_22A	SA421	4	Office	Indoor	no	metal	24.3	66.6	No		DNA	231109_22A	231109	2311	SA	231109_22A-SA421	22A	2311-22A	11-22A	Autumn	Autumn	Aboveground
231109_3A	SAb1	b1	Outdoor	Outdoor	no	plastic	21.2	61.8	No		DNA	231109_3A	231109	2311	SA	231109_3A-SAb1	3A	2311-3A	11-3A	Autumn	Autumn	Outdoor
231109_4A	SAb1 SA007	b1	Office	Indoor	no	plastic	21.4	62.7	No		DNA	231109_4A	231109	2311	SA	231109_4A-SAb1 SA007	4A	2311-4A	11-4A	Autumn	Autumn	Underground
